Booking ID,Status,Passenger status,Passengers,Pickup ID,Dropoff ID,Actual Pickup Time,Actual Dropoff Time,name_pickup,district_pickup,Pickup Latitude,Pickup Longitude,name_dropoff,district_dropoff,Dropoff Latitude,Dropoff Longitude
264955,Validated,Trip completed,1,4,1,2024-09-27 22:03:00,2024-09-27 22:06:00,"Kinding, Marktplatz",Kinding,49.000562,11.38279,"Enkering, Maibaum",Enkering,48.992498,11.363953
268238,Validated,Trip completed,2,0,19,2024-09-27 22:28:00,2024-09-27 22:39:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982
268648,Validated,Trip completed,3,0,19,2024-09-27 22:28:00,2024-09-27 22:39:00,"Kinding, Bahnhof",Kinding,48.992168,11.377365,"Beilngries, Ringstrasse",Beilngries,49.033832,11.471982
264305,Cancelled by client,Cancelled,1,28,64,2024-09-28 08:02:00,2024-09-28 08:09:00,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075,"Plankstetten, Biberbacher Straße",Biberbach,49.068532,11.455142
268917,Validated,Trip completed,1,6,30,2024-09-28 08:09:00,2024-09-28 08:19:00,"Haunstetten, Kirche",Haunstetten,49.015158,11.408473,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
268351,Cancelled by client,Cancelled,1,15,0,2024-09-28 08:26:00,2024-09-28 08:39:00,"Hirschberg, Dorfkapelle",Hirschberg,49.03815,11.451488,"Kinding, Bahnhof",Kinding,48.992168,11.377365
268949,Validated,Trip completed,1,21,0,2024-09-28 08:18:00,2024-09-28 08:38:00,"Beilngries, Deutscher Hof",Beilngries,49.033525,11.475793,"Kinding, Bahnhof",Kinding,48.992168,11.377365
268532,Cancelled by client,Cancelled,1,35,40,2024-09-28 08:19:00,2024-09-28 08:54:00,"Beilngries, Freibad",Beilngries,49.027045,11.473085,"Irfersdorf, Am Kirchplatz",Irfersdorf,48.994215,11.461103
268943,Cancelled by client,Cancelled,1,28,0,2024-09-28 08:22:00,2024-09-28 08:39:00,"Beilngries, Neumarkter Straße",Beilngries,49.036912,11.471075,"Kinding, Bahnhof",Kinding,48.992168,11.377365
268549,Validated,Trip completed,1,15,0,2024-09-28 08:23:00,2024-09-28 08:38:00,"Hirschberg, Dorfkapelle",Hirschberg,49.03815,11.451488,"Kinding, Bahnhof",Kinding,48.992168,11.377365
268888,Cancelled by driver,Cancelled,1,3,0,2024-09-28 08:40:00,2024-09-28 08:49:00,"Kinding, Beilngrieser Straße",Kinding,49.002445,11.390002,"Kinding, Bahnhof",Kinding,48.992168,11.377365
255862,Validated,Trip completed,1,50,21,2024-09-28 09:03:00,2024-09-28 09:17:00,"Wolfsbuch, Fuchsengasse",Wolfsbuch,48.976827,11.559612,"Beilngries, Deutscher Hof",Beilngries,49.033525,11.475793
268698,Validated,Trip completed,1,68,4,2024-09-28 09:12:00,2024-09-28 09:50:00,"Kottingwoerth, Muehlleite",Kaldorf,49.015567,11.522882,"Kinding, Marktplatz",Kinding,49.000562,11.38279
268823,Validated,Trip completed,3,15,30,2024-09-28 09:25:00,2024-09-28 09:31:00,"Hirschberg, Dorfkapelle",Hirschberg,49.03815,11.451488,"Beilngries, Frauenkirche",Beilngries,49.036378,11.470632
264956,Validated,Trip completed,1,1,4,2024-09-28 09:47:00,2024-09-28 09:50:00,"Enkering, Maibaum",Enkering,48.992498,11.363953,"Kinding, Marktplatz",Kinding,49.000562,11.38279
